Expert_ID,theme,from,to
Expert_001,Tema 1,Acoplamiento clima-océano,Amenazas humanas
Expert_001,Tema 1,Acoplamiento clima-océano,Contaminación
Expert_001,Tema 1,Acoplamiento clima-océano,Impactos del cambio climático
Expert_001,Tema 1,Acoplamiento clima-océano,Resiliencia
Expert_001,Tema 1,Amenazas humanas,Contaminación
Expert_001,Tema 1,Amenazas humanas,Impactos del cambio climático
Expert_001,Tema 1,Amenazas humanas,Resiliencia
Expert_001,Tema 1,Contaminación,Impactos del cambio climático
Expert_001,Tema 1,Contaminación,Resiliencia
Expert_001,Tema 1,Impactos del cambio climático,Resiliencia
Expert_001,Tema 2,Biodiversidad,Conservación
Expert_001,Tema 2,Biodiversidad,Especies clave
Expert_001,Tema 2,Biodiversidad,Regulación de la biodiversidad global
Expert_001,Tema 2,Biodiversidad,Restauración ecológica
Expert_001,Tema 2,Conservación,Especies clave
Expert_001,Tema 2,Conservación,Regulación de la biodiversidad global
Expert_001,Tema 2,Conservación,Restauración ecológica
Expert_001,Tema 2,Especies clave,Regulación de la biodiversidad global
Expert_001,Tema 2,Especies clave,Restauración ecológica
Expert_001,Tema 2,Regulación de la biodiversidad global,Restauración ecológica
Expert_001,Tema 3,Ecología,Ecosistemas
Expert_001,Tema 3,Ecología,Productividad
Expert_001,Tema 3,Ecología,Servicios ecosistemicos
Expert_001,Tema 3,Ecología,Sustentabilidad
Expert_001,Tema 3,Ecosistemas,Productividad
Expert_001,Tema 3,Ecosistemas,Servicios ecosistemicos
Expert_001,Tema 3,Ecosistemas,Sustentabilidad
Expert_001,Tema 3,Productividad,Servicios ecosistemicos
Expert_001,Tema 3,Productividad,Sustentabilidad
Expert_001,Tema 3,Servicios ecosistemicos,Sustentabilidad
Expert_001,Tema 4,Ciclos biogeoquímicos,Geografia
Expert_001,Tema 4,Ciclos biogeoquímicos,Oceanografía física
Expert_001,Tema 4,Ciclos biogeoquímicos,Pesquerias
Expert_001,Tema 4,Geografia,Oceanografía física
Expert_001,Tema 4,Geografia,Pesquerias
Expert_001,Tema 4,Oceanografía física,Pesquerias
Expert_001,Tema 5,Aspectos socio-económicos,Bienestar humano
Expert_001,Tema 5,Aspectos socio-económicos,Conciencia ambiental
Expert_001,Tema 5,Aspectos socio-económicos,Evolución
Expert_001,Tema 5,Aspectos socio-económicos,Valor cultural
Expert_001,Tema 5,Bienestar humano,Conciencia ambiental
Expert_001,Tema 5,Bienestar humano,Evolución
Expert_001,Tema 5,Bienestar humano,Valor cultural
Expert_001,Tema 5,Conciencia ambiental,Evolución
Expert_001,Tema 5,Conciencia ambiental,Valor cultural
Expert_001,Tema 5,Evolución,Valor cultural
Expert_002,Tema 1,Biodiversidad,Ciclos biogeoquímicos
Expert_002,Tema 1,Biodiversidad,Ecología
Expert_002,Tema 1,Biodiversidad,Ecosistemas
Expert_002,Tema 1,Biodiversidad,Especies clave
Expert_002,Tema 1,Biodiversidad,Evolución
Expert_002,Tema 1,Biodiversidad,Oceanografía física
Expert_002,Tema 1,Biodiversidad,Regulación de la biodiversidad global
Expert_002,Tema 1,Ciclos biogeoquímicos,Ecología
Expert_002,Tema 1,Ciclos biogeoquímicos,Ecosistemas
Expert_002,Tema 1,Ciclos biogeoquímicos,Especies clave
Expert_002,Tema 1,Ciclos biogeoquímicos,Evolución
Expert_002,Tema 1,Ciclos biogeoquímicos,Oceanografía física
Expert_002,Tema 1,Ciclos biogeoquímicos,Regulación de la biodiversidad global
Expert_002,Tema 1,Ecología,Ecosistemas
Expert_002,Tema 1,Ecología,Especies clave
Expert_002,Tema 1,Ecología,Evolución
Expert_002,Tema 1,Ecología,Oceanografía física
Expert_002,Tema 1,Ecología,Regulación de la biodiversidad global
Expert_002,Tema 1,Ecosistemas,Especies clave
Expert_002,Tema 1,Ecosistemas,Evolución
Expert_002,Tema 1,Ecosistemas,Oceanografía física
Expert_002,Tema 1,Ecosistemas,Regulación de la biodiversidad global
Expert_002,Tema 1,Especies clave,Evolución
Expert_002,Tema 1,Especies clave,Oceanografía física
Expert_002,Tema 1,Especies clave,Regulación de la biodiversidad global
Expert_002,Tema 1,Evolución,Oceanografía física
Expert_002,Tema 1,Evolución,Regulación de la biodiversidad global
Expert_002,Tema 1,Oceanografía física,Regulación de la biodiversidad global
Expert_002,Tema 2,Conciencia ambiental,Conservación
Expert_002,Tema 2,Conciencia ambiental,Contaminación
Expert_002,Tema 2,Conciencia ambiental,Geografia
Expert_002,Tema 2,Conciencia ambiental,Impactos del cambio climático
Expert_002,Tema 2,Conciencia ambiental,Resiliencia
Expert_002,Tema 2,Conciencia ambiental,Restauración ecológica
Expert_002,Tema 2,Conciencia ambiental,Sustentabilidad
Expert_002,Tema 2,Conservación,Contaminación
Expert_002,Tema 2,Conservación,Geografia
Expert_002,Tema 2,Conservación,Impactos del cambio climático
Expert_002,Tema 2,Conservación,Resiliencia
Expert_002,Tema 2,Conservación,Restauración ecológica
Expert_002,Tema 2,Conservación,Sustentabilidad
Expert_002,Tema 2,Contaminación,Geografia
Expert_002,Tema 2,Contaminación,Impactos del cambio climático
Expert_002,Tema 2,Contaminación,Resiliencia
Expert_002,Tema 2,Contaminación,Restauración ecológica
Expert_002,Tema 2,Contaminación,Sustentabilidad
Expert_002,Tema 2,Geografia,Impactos del cambio climático
Expert_002,Tema 2,Geografia,Resiliencia
Expert_002,Tema 2,Geografia,Restauración ecológica
Expert_002,Tema 2,Geografia,Sustentabilidad
Expert_002,Tema 2,Impactos del cambio climático,Resiliencia
Expert_002,Tema 2,Impactos del cambio climático,Restauración ecológica
Expert_002,Tema 2,Impactos del cambio climático,Sustentabilidad
Expert_002,Tema 2,Resiliencia,Restauración ecológica
Expert_002,Tema 2,Resiliencia,Sustentabilidad
Expert_002,Tema 2,Restauración ecológica,Sustentabilidad
Expert_002,Tema 3,Aspectos socio-económicos,Bienestar humano
Expert_002,Tema 3,Aspectos socio-económicos,Pesquerias
Expert_002,Tema 3,Aspectos socio-económicos,Productividad
Expert_002,Tema 3,Aspectos socio-económicos,Servicios ecosistemicos
Expert_002,Tema 3,Aspectos socio-económicos,Valor cultural
Expert_002,Tema 3,Bienestar humano,Pesquerias
Expert_002,Tema 3,Bienestar humano,Productividad
Expert_002,Tema 3,Bienestar humano,Servicios ecosistemicos
Expert_002,Tema 3,Bienestar humano,Valor cultural
Expert_002,Tema 3,Pesquerias,Productividad
Expert_002,Tema 3,Pesquerias,Servicios ecosistemicos
Expert_002,Tema 3,Pesquerias,Valor cultural
Expert_002,Tema 3,Productividad,Servicios ecosistemicos
Expert_002,Tema 3,Productividad,Valor cultural
Expert_002,Tema 3,Servicios ecosistemicos,Valor cultural
Expert_002,x,NA,NA
Expert_003,No,NA,NA
