Expert_ID,Category,Coder_Topic,Coder_Theme,Respondent_Themed_Group,Respondent_Themed_Group_Name
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Cambio Global y Amenazas Ambientales
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Biodiversidad, Conservación y Servicios Ecosistémicos"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Ciencias y de la Tierra y los Océanos
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Sociedad, Cultura y Medio Ambiente"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Evolución y Procesos Naturales
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Cambio Climático, Impactos y Amenazas"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Biodiversidad, Conservación y Restauración"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Ecosistemas, Ecología y Servicios Ambientales"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Ciencias de la Tierra y Océanos
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Sociedad, Cultura y Medio Ambiente"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Ciencia del Cambio Climático y sus procesos
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Impactos, Amenazas y Adaptación"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Conservación, Ecosistemas y Servicios Ambientales"
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,Mitigación y Soluciones al Cambio Climático
Expert_001,Mares Mexicanos,1.1.1,Amenazas humanas,Tema 1,"Sociedad, Evolución y Conciencia Ambiental"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Cambio Global y Amenazas Ambientales
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Biodiversidad, Conservación y Servicios Ecosistémicos"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Ciencias y de la Tierra y los Océanos
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Sociedad, Cultura y Medio Ambiente"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Evolución y Procesos Naturales
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Cambio Climático, Impactos y Amenazas"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Biodiversidad, Conservación y Restauración"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Ecosistemas, Ecología y Servicios Ambientales"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Ciencias de la Tierra y Océanos
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Sociedad, Cultura y Medio Ambiente"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Ciencia del Cambio Climático y sus procesos
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Impactos, Amenazas y Adaptación"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Conservación, Ecosistemas y Servicios Ambientales"
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,Mitigación y Soluciones al Cambio Climático
Expert_001,Mares Mexicanos,1.1.2,Aspectos socio-económicos,Tema 4,"Sociedad, Evolución y Conciencia Ambiental"
Expert_001,Mares Mexicanos,1.1.3,Bienestar humano,Tema 4,Cambio Global y Amenazas Ambientales
Expert_001,Mares Mexicanos,1.1.3,Bienestar humano,Tema 4,"Biodiversidad, Conservación y Servicios Ecosistémicos"
Expert_001,Mares Mexicanos,1.1.3,Bienestar humano,Tema 4,Ciencias y de la Tierra y los Océanos
Expert_001,Mares Mexicanos,1.1.3,Bienestar humano,Tema 4,"Sociedad, Cultura y Medio Ambiente"
Expert_001,Mares Mexicanos,1.1.3,Bienestar humano,Tema 4,Evolución y Procesos Naturales
